iter	Passed	Remaining
277	787	716
278	790	713
279	792	710
280	795	707
281	797	704
282	799	700
283	803	698
284	805	695
285	808	692
286	810	689
287	813	686
288	816	683
289	819	680
290	822	678
291	825	675
292	828	672
293	831	669
294	834	667
295	837	664
296	840	661
297	842	658
298	845	655
299	847	652
300	850	649
301	853	647
302	856	644
303	858	641
304	861	638
305	864	635
306	866	632
307	869	629
308	872	626
309	874	623
310	876	620
311	878	616
312	881	613
313	884	610
314	886	607
315	888	604
316	890	601
317	892	597
318	895	594
319	899	593
320	904	591
321	908	589
322	914	588
323	919	587
324	924	586
325	930	584
326	935	583
327	939	581
328	941	578
329	944	575
330	947	572
331	950	569
332	952	566
333	955	563
334	957	560
335	960	557
336	963	554
337	967	552
338	969	549
339	972	546
340	974	543
341	977	540
342	980	537
343	983	534
344	986	531
345	988	528
346	991	525
347	994	522
348	997	519
349	999	516
350	1002	513
351	1005	511
352	1008	508
353	1011	505
354	1013	502
355	1017	500
356	1020	497
357	1022	494
358	1024	491
359	1027	488
360	1030	485
361	1032	482
362	1034	478
363	1037	475
364	1039	472
365	1042	470
366	1045	467
367	1047	464
368	1050	461
369	1053	458
370	1055	455
371	1058	452
372	1061	449
373	1063	446
374	1066	443
375	1069	440
376	1071	437
377	1074	434
378	1077	431
379	1079	429
380	1082	426
381	1086	423
382	1089	420
383	1092	418
384	1095	415
385	1098	412
386	1101	410
387	1105	407
388	1107	404
389	1110	401
390	1112	398
391	1116	395
392	1119	393
393	1122	390
394	1125	387
395	1128	384
396	1130	381
397	1134	378
398	1136	375
399	1140	373
400	1142	370
401	1145	367
402	1148	364
403	1151	361
404	1153	358
405	1155	355
406	1158	352
407	1161	350
408	1163	347
409	1166	344
410	1168	341
411	1171	338
412	1173	335
413	1177	332
414	1181	330
415	1183	327
416	1186	324
417	1188	321
418	1192	318
419	1196	316
420	1198	313
421	1200	310
422	1202	307
423	1204	303
424	1206	301
425	1209	298
426	1212	295
427	1214	292
428	1217	289
429	1219	286
430	1221	283
431	1225	280
432	1227	277
433	1230	274
434	1232	272
435	1235	269
436	1237	266
437	1240	263
438	1243	260
439	1246	257
440	1249	254
441	1251	252
442	1254	249
443	1259	246
444	1261	243
445	1264	241
446	1267	238
447	1270	235
448	1274	232
449	1278	230
450	1282	227
451	1285	224
452	1288	221
453	1291	219
454	1295	216
455	1299	213
456	1301	210
457	1304	207
458	1306	204
459	1309	202
460	1312	199
461	1315	196
462	1317	193
463	1320	190
464	1323	187
465	1325	184
466	1328	182
467	1331	179
468	1334	176
469	1336	173
470	1339	170
471	1342	167
472	1344	164
473	1347	162
474	1350	159
475	1353	156
476	1357	153
477	1361	151
